TimeStep,TripID,Latitude,Longitude,Speed,Heading
1284,48,40.099222,-83.160097,65,270.0
1285,48,40.099222,-83.160438,65,270.0
1286,48,40.099223,-83.160783,66,270.0
1287,48,40.099225,-83.161132,66,264.0
1288,48,40.099225,-83.161482,67,270.0
1289,48,40.099225,-83.161837,68,270.0
1290,48,40.099223,-83.162197,69,270.0
1291,48,40.099223,-83.162562,70,270.0
1292,48,40.099225,-83.162928,70,270.0
1293,48,40.099228,-83.163298,70,270.0
1294,48,40.09923,-83.163668,70,270.0
1295,48,40.099232,-83.164038,70,270.0
1296,48,40.099235,-83.164408,70,270.0
1297,48,40.099238,-83.164777,70,270.0
1298,48,40.099242,-83.165148,71,270.0
1299,48,40.099248,-83.165522,71,270.0
1300,48,40.099262,-83.165897,71,270.0
1301,48,40.099282,-83.166268,71,270.0
1302,48,40.099315,-83.166638,71,276.0
1303,48,40.099362,-83.16701,71,276.0
1304,48,40.099415,-83.167383,71,276.0
1305,48,40.099473,-83.167752,71,276.0
1306,48,40.099537,-83.168118,71,282.0
1307,48,40.099607,-83.168485,71,282.0
1308,48,40.09968,-83.168845,71,282.0
1309,48,40.099763,-83.169205,71,282.0
1310,48,40.099848,-83.169563,71,282.0
1311,48,40.099945,-83.169918,70,288.0
1312,48,40.100057,-83.170267,71,288.0
1313,48,40.100172,-83.170608,70,288.0
1314,48,40.1003,-83.170945,71,294.0
1315,48,40.100432,-83.171277,70,294.0
1316,48,40.100568,-83.171607,70,294.0
1317,48,40.100712,-83.17193,70,294.0
1318,48,40.100858,-83.172247,70,300.0
1319,48,40.10101,-83.172555,69,300.0
1320,48,40.10117,-83.172852,69,300.0
1321,48,40.10134,-83.173143,68,306.0
1322,48,40.101513,-83.173432,68,306.0
1323,48,40.101693,-83.17371,68,306.0
1324,48,40.101877,-83.17398,68,306.0
1325,48,40.102063,-83.174247,68,312.0
1326,48,40.102258,-83.174507,67,312.0
1327,48,40.102452,-83.174758,67,312.0
1328,48,40.102648,-83.175002,66,312.0
1329,48,40.102848,-83.175237,66,312.0
1330,48,40.10305,-83.175465,66,318.0
1331,48,40.103257,-83.175687,66,318.0
1332,48,40.10347,-83.1759,66,318.0
1333,48,40.103693,-83.176107,66,324.0
1334,48,40.103918,-83.176305,66,324.0
1335,48,40.10414,-83.176498,66,324.0
1336,48,40.104367,-83.176683,66,324.0
1337,48,40.104593,-83.176858,66,324.0
1338,48,40.104822,-83.177025,65,330.0
1339,48,40.105055,-83.177185,65,330.0
1340,48,40.105293,-83.177338,65,330.0
1341,48,40.105535,-83.177478,65,336.0
1342,48,40.105777,-83.17761,65,336.0
1343,48,40.106022,-83.17774,66,336.0
1344,48,40.10627,-83.177865,66,336.0
1345,48,40.106518,-83.17799,66,336.0
1346,48,40.10677,-83.178113,66,336.0
1347,48,40.10702,-83.178237,66,336.0
1348,48,40.107273,-83.178357,66,336.0
1349,48,40.107525,-83.178485,66,336.0
1350,48,40.107777,-83.178608,65,336.0
1351,48,40.108025,-83.178732,65,336.0
1352,48,40.108272,-83.178855,65,336.0
1353,48,40.108523,-83.178978,66,336.0
1354,48,40.108775,-83.179102,66,336.0
1355,48,40.109027,-83.179225,66,336.0
1356,48,40.10928,-83.179353,66,336.0
1357,48,40.109533,-83.17948,67,336.0
1358,48,40.109788,-83.179607,67,336.0
1359,48,40.110043,-83.179737,67,336.0
1360,48,40.110298,-83.179867,68,336.0
1361,48,40.110553,-83.179995,68,336.0
1362,48,40.11081,-83.180123,68,336.0
1363,48,40.11107,-83.180252,69,336.0
1364,48,40.111335,-83.180387,69,336.0
1365,48,40.111602,-83.180522,70,336.0
1366,48,40.111867,-83.180655,70,336.0
1367,48,40.112133,-83.18079,70,336.0
1368,48,40.112402,-83.180925,70,336.0
1369,48,40.112668,-83.181062,71,336.0
1370,48,40.112935,-83.181195,71,336.0
1371,48,40.113203,-83.18133,71,336.0
1372,48,40.113472,-83.181465,71,336.0
1373,48,40.113738,-83.181598,71,336.0
1374,48,40.114007,-83.181733,70,336.0
1375,48,40.114273,-83.181868,70,336.0
1376,48,40.114538,-83.182003,70,336.0
1377,48,40.114805,-83.182138,70,336.0
1378,48,40.115072,-83.182273,70,336.0
1379,48,40.115338,-83.18241,70,336.0
1380,48,40.115605,-83.182543,71,336.0
1381,48,40.115872,-83.182678,71,336.0
1382,48,40.116137,-83.182813,71,336.0
1383,48,40.116405,-83.18295,71,336.0
1384,48,40.116673,-83.183087,71,336.0
1385,48,40.116943,-83.183225,71,336.0
1386,48,40.117212,-83.183362,71,336.0
1387,48,40.117482,-83.183498,71,336.0
1388,48,40.117752,-83.183633,71,336.0
1389,48,40.118022,-83.183768,71,336.0
1390,48,40.11829,-83.183903,71,336.0
1391,48,40.118558,-83.184038,71,336.0
1392,48,40.118827,-83.184173,71,336.0
1393,48,40.119095,-83.184307,71,336.0
1394,48,40.119363,-83.184442,71,336.0
1395,48,40.119632,-83.184578,71,336.0
1396,48,40.119902,-83.184717,71,336.0
1397,48,40.12017,-83.184855,71,336.0
1398,48,40.12044,-83.184993,72,336.0
1399,48,40.120713,-83.185132,72,336.0
1400,48,40.120987,-83.18527,71,336.0
1401,48,40.121257,-83.185405,71,336.0
1402,48,40.121528,-83.185542,71,336.0
1403,48,40.1218,-83.185678,71,336.0
1404,48,40.122072,-83.185817,71,336.0
1405,48,40.122342,-83.185955,71,336.0
1406,48,40.122612,-83.186092,72,336.0
1407,48,40.122883,-83.186228,71,336.0
1408,48,40.123155,-83.186367,71,336.0
1409,48,40.123422,-83.186503,71,336.0
1410,48,40.12369,-83.18664,71,336.0
1411,48,40.123957,-83.186777,71,336.0
1412,48,40.124223,-83.186913,71,336.0
1413,48,40.12449,-83.18705,70,336.0
1414,48,40.12476,-83.187188,70,336.0
1415,48,40.125025,-83.187332,70,336.0
1416,48,40.125288,-83.18748,70,330.0
1417,48,40.125547,-83.187635,71,330.0
1418,48,40.125805,-83.187798,71,330.0
1419,48,40.126062,-83.187968,71,330.0
1420,48,40.126317,-83.188143,71,330.0
1421,48,40.12657,-83.188325,71,330.0
1422,48,40.12682,-83.18851,71,330.0
1423,48,40.127068,-83.188703,71,324.0
1424,48,40.127313,-83.1889,71,324.0
1425,48,40.127557,-83.189103,71,324.0
1426,48,40.127798,-83.189312,71,324.0
1427,48,40.128037,-83.189525,71,324.0
1428,48,40.128272,-83.189745,71,324.0
1429,48,40.128503,-83.189968,71,318.0
1430,48,40.128733,-83.190198,71,318.0
1431,48,40.128958,-83.190435,71,318.0
1432,48,40.12918,-83.190675,71,318.0
1433,48,40.129397,-83.19092,71,318.0
1434,48,40.129612,-83.191168,70,318.0
1435,48,40.129822,-83.19142,70,312.0
1436,48,40.130028,-83.191673,70,312.0
1437,48,40.130232,-83.19193,70,312.0
1438,48,40.130433,-83.192188,70,312.0
1439,48,40.130635,-83.192447,69,312.0
1440,48,40.130833,-83.192707,69,312.0
1441,48,40.131033,-83.192963,69,312.0
1442,48,40.131233,-83.193222,70,312.0
1443,48,40.131433,-83.193478,70,312.0
1444,48,40.131633,-83.193737,70,312.0
1445,48,40.131835,-83.194,70,312.0
1446,48,40.132035,-83.194263,70,312.0
1447,48,40.132238,-83.19453,70,312.0
1448,48,40.132442,-83.194798,70,312.0
1449,48,40.132645,-83.195067,71,312.0
1450,48,40.13285,-83.195333,71,312.0
1451,48,40.133055,-83.195597,71,312.0
1452,48,40.133262,-83.195862,71,312.0
1453,48,40.133467,-83.196127,71,312.0
1454,48,40.133673,-83.196392,71,312.0
1455,48,40.133882,-83.196658,72,312.0
1456,48,40.13409,-83.196925,72,312.0
1457,48,40.134297,-83.19719,72,312.0
1458,48,40.134507,-83.197455,72,312.0
1459,48,40.134713,-83.197722,72,312.0
1460,48,40.134922,-83.19799,72,312.0
1461,48,40.135128,-83.198257,71,312.0
1462,48,40.135335,-83.198523,71,312.0
1463,48,40.135542,-83.19879,72,312.0
1464,48,40.135748,-83.199058,72,312.0
1465,48,40.135957,-83.199328,72,312.0
1466,48,40.136165,-83.1996,72,312.0
1467,48,40.136373,-83.19987,72,312.0
1468,48,40.136582,-83.20014,72,312.0
1469,48,40.13679,-83.20041,72,312.0
1470,48,40.136997,-83.200682,72,312.0
1471,48,40.137207,-83.200952,72,312.0
1472,48,40.137415,-83.201222,72,312.0
1473,48,40.137623,-83.201492,72,312.0
1474,48,40.137832,-83.20176,72,312.0
1475,48,40.13804,-83.202027,71,312.0
1476,48,40.138248,-83.20229,71,312.0
1477,48,40.138455,-83.202555,71,312.0
1478,48,40.138662,-83.202818,71,312.0
1479,48,40.138868,-83.203083,71,312.0
1480,48,40.139075,-83.203345,71,312.0
1481,48,40.13928,-83.203608,71,312.0
1482,48,40.139487,-83.203873,71,312.0
1483,48,40.139692,-83.204138,71,312.0
1484,48,40.139898,-83.204403,71,312.0
1485,48,40.140103,-83.204668,71,312.0
1486,48,40.140312,-83.204933,72,312.0
1487,48,40.140522,-83.205198,72,312.0
1488,48,40.140728,-83.205463,71,312.0
1489,48,40.140937,-83.205727,71,312.0
1490,48,40.141145,-83.205992,71,312.0
1491,48,40.141353,-83.206255,71,312.0
1492,48,40.141562,-83.206517,71,312.0
1493,48,40.141768,-83.206778,71,312.0
1494,48,40.141977,-83.207037,71,312.0
1495,48,40.142185,-83.207297,71,312.0
1496,48,40.142392,-83.207558,71,312.0
1497,48,40.142598,-83.207818,71,312.0
1498,48,40.142807,-83.208078,71,312.0
1499,48,40.143015,-83.208342,71,312.0
