Time,CarId,Longitude,Latitude,Speed,Heading,Class
75.40399928,859957,49.261211,4.056694,13.02,186.2,0
75.80399928,859957,49.261165,4.056686,12.87,186.2,0
76.20399928,859957,49.261119,4.056677,12.93,186.2,0
76.60399928,859957,49.261073,4.056668,12.85,186.2,0
77.00399928,859957,49.261027,4.05666,2.57,175,1
77.40399928,859957,49.260981,4.056651,2.57,175,0
77.80399928,859957,49.260936,4.056642,2.57,175,0
78.20399928,859957,49.26089,4.056631,2.57,175,0
78.60399928,859957,49.260845,4.05662,2.57,175,0
79.00399928,859957,49.2608,4.056609,2.57,175,0
79.40399928,859957,49.260755,4.056599,2.57,175,0
79.80399928,859957,49.260711,4.056588,2.57,175,0
80.20399928,859957,49.260666,4.056577,2.57,175,0
80.60399928,859957,49.260621,4.056567,2.57,175,0
81.00399928,859957,49.260576,4.056556,2.57,175,0
81.40399928,859957,49.260532,4.056542,2.57,175,0
81.60399928,859957,49.260511,4.056525,2.57,175,0
81.70399928,859957,49.260503,4.056512,2.57,175,0
81.80399928,859957,49.260494,4.0565,2.57,175,0
81.90399928,859957,49.260483,4.056494,2.57,175,0
82.00399928,859957,49.260472,4.056489,2.57,175,0
82.10399928,859957,49.260461,4.056487,2.57,175,0
82.20399928,859957,49.260449,4.056485,2.57,175,0
82.30399928,859957,49.260438,4.056483,2.57,175,0
82.40399928,859957,49.260427,4.056481,2.57,175,0
82.50399928,859957,49.260416,4.056479,12.59,185.6,1
82.90399928,859957,49.260371,4.056471,12.55,185.6,0
83.20399928,859957,49.260338,4.056466,12.01,185.6,0
83.40399928,859957,49.260317,4.056462,11.23,185.6,0
83.60399928,859957,49.260298,4.056459,10.33,185.6,0
83.80399928,859957,49.260281,4.056456,9.43,185.6,0
84.00399928,859957,49.260265,4.056453,8.54,185.6,0
84.20399928,859957,49.260251,4.056451,7.64,185.6,0
84.40399928,859957,49.260239,4.056449,6.74,185.6,0
84.60399928,859957,49.260228,4.056447,5.84,185.6,0
84.80399928,859957,49.260219,4.056445,4.94,185.6,0
85.00399928,859957,49.260211,4.056444,4.04,185.6,0
85.20399928,859957,49.260205,4.056443,3.14,185.6,0
85.40399928,859957,49.260201,4.056442,2.27,185.6,0
85.60399928,859957,49.260198,4.056442,1.37,185.6,0
85.80399928,859957,49.260197,4.056441,0.47,185.6,0
86.00399928,859957,49.260197,4.056441,0,185.6,0
86.20399928,859957,49.260197,4.056441,0,185.6,0
86.40399928,859957,49.260197,4.056441,0,185.6,0
87.40399928,859957,49.260197,4.056441,0,185.6,0
88.40399928,859957,49.260197,4.056441,0,185.6,0
89.40399928,859957,49.260197,4.056441,0,185.6,0
90.30399928,859957,49.260195,4.056441,0.74,185.6,0
90.60399928,859957,49.260192,4.056441,1.43,185.6,0
90.90399928,859957,49.260187,4.05644,2.07,185.6,0
91.20399928,859957,49.26018,4.056439,2.65,185.4,0
91.50399928,859957,49.260172,4.056438,3.28,185.1,0
91.80399928,859957,49.260162,4.056436,3.95,184.7,0
